drug,drug_class,target,activity,activity_recoded,ki_lower_nm,ki_upper_nm,modelled_ki_nm,ki_is_range,log10_ki_nm,pKi,source_url,evidence_note,last_verified_at
Clomipramine,Tricyclic,SERT,Inhibitor,Antagonist,0.14,0.28,0.197989898732233,True,-0.703356966489771,9.70335696648977,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2398,"Clomipramine is a tricyclic antidepressant with well-established serotonin and norepinephrine reuptake inhibition, this row is assigned from curated drug-level pharmacology rather than a single assay shown in the retrieved snippet.",2026-04-16
Clomipramine,Tricyclic,5-HT1A,,,7000,,7000,False,3.84509804001426,5.15490195998574,,,2026-04-16
Clomipramine,Tricyclic,5-HT1D,,,10000,,10000,False,4,5,,,2026-04-16
Clomipramine,Tricyclic,5-HT2A,,,27,35.5,30.9596511608254,True,1.49079605860704,7.50920394139296,,,2026-04-16
Clomipramine,Tricyclic,5-HT2C,,,,64.6,64.6,False,1.81023251799508,7.18976748200492,,,2026-04-16
Clomipramine,Tricyclic,5-HT3,,,460,985,673.127031101857,True,2.82809703108959,6.17190296891041,,,2026-04-16
Clomipramine,Tricyclic,5-HT6,,,,53.8,53.8,False,1.73078227566639,7.26921772433361,,,2026-04-16
Clomipramine,Tricyclic,5-HT7,,,,127,127,False,2.10380372095596,6.89619627904404,,,2026-04-16
Clomipramine,Tricyclic,NET,Inhibitor,Antagonist,38,53.7,45.1730007858677,True,1.65487894115818,7.34512105884182,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2398,"Clomipramine is a tricyclic antidepressant with well-established serotonin and norepinephrine reuptake inhibition, this row is assigned from curated drug-level pharmacology rather than a single assay shown in the retrieved snippet.",2026-04-16
Clomipramine,Tricyclic,α1,,,3.2,38,11.0272390016722,True,1.04246678746836,7.95753321253164,,,2026-04-16
Clomipramine,Tricyclic,α2,,,525,3200,1296.14813968157,True,3.11265464086293,5.88734535913707,,,2026-04-16
Clomipramine,Tricyclic,β,,,,22000,22000,False,4.34242268082221,4.65757731917779,,,2026-04-16
Clomipramine,Tricyclic,mACh,,,,37,37,False,1.568201724067,7.43179827593301,,,2026-04-16
Clomipramine,Tricyclic,H1,,,13,31,20.0748598998847,True,1.30265252307055,7.69734747692945,,,2026-04-16
Clomipramine,Tricyclic,H2,,,,209,209,False,2.32014628611105,6.67985371388895,,,2026-04-16
Clomipramine,Tricyclic,H3,,,,9770,9770,False,3.98989456371877,5.01010543628123,,,2026-04-16
Clomipramine,Tricyclic,H4,,,,5750,5750,False,3.75966784468963,5.24033215531037,,,2026-04-16
Clomipramine,Tricyclic,σ1,,,,546,546,False,2.73719264270474,6.26280735729526,,,2026-04-16
Dosulepin,Tricyclic,DAT,,,,5310,5310,False,3.72509452108147,5.27490547891853,,,2026-04-16
Dosulepin,Tricyclic,SERT,Inhibitor,Antagonist,8.6,78,25.8998069490875,True,1.41329652696702,7.58670347303298,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7549&tab=clinical,"Curated GtoPdb comment describes dosulepin as an SNRI with anticholinergic, antihistamine and antiadrenergic effects. SERT was labelled Inhibitor from that curated mechanism summary.",2026-04-16
Dosulepin,Tricyclic,5-HT1A,,,,4004,4004,False,3.60249406880728,5.39750593119272,,,2026-04-16
Dosulepin,Tricyclic,5-HT2A,,,,152,152,False,2.18184358794477,6.81815641205523,,,2026-04-16
Dosulepin,Tricyclic,NET,Inhibitor,Antagonist,46,70,56.7450438364444,True,1.75392793584792,7.24607206415208,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7549&tab=clinical,"Curated GtoPdb comment describes dosulepin as an SNRI with anticholinergic, antihistamine and antiadrenergic effects. NET was labelled Inhibitor from that curated mechanism summary.",2026-04-16
Dosulepin,Tricyclic,α1,Antagonist,Antagonist,,419,419,False,2.6222140229663,6.37778597703371,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7549&tab=clinical,"Curated GtoPdb comment states dosulepin has antiadrenergic effects, supporting adrenergic receptor antagonism. The summary does not provide subtype-specific assay detail.",2026-04-16
Dosulepin,Tricyclic,α2,,,,2400,2400,False,3.38021124171161,5.61978875828839,,,2026-04-16
Dosulepin,Tricyclic,M1,Antagonist,Antagonist,,18,18,False,1.25527250510331,7.74472749489669,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7549&tab=clinical,"Curated GtoPdb comment states dosulepin has anticholinergic effects, supporting muscarinic receptor antagonism. Subtype-specific assay detail was not visible in the retrieved summary.",2026-04-16
Dosulepin,Tricyclic,M2,Antagonist,Antagonist,,109,109,False,2.03742649794062,6.96257350205938,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7549&tab=clinical,"Curated GtoPdb comment states dosulepin has anticholinergic effects, supporting muscarinic receptor antagonism. Subtype-specific assay detail was not visible in the retrieved summary.",2026-04-16
Dosulepin,Tricyclic,M3,Antagonist,Antagonist,,38,38,False,1.57978359661681,7.42021640338319,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7549&tab=clinical,"Curated GtoPdb comment states dosulepin has anticholinergic effects, supporting muscarinic receptor antagonism. Subtype-specific assay detail was not visible in the retrieved summary.",2026-04-16
Dosulepin,Tricyclic,M4,Antagonist,Antagonist,,61,61,False,1.78532983501077,7.21467016498923,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7549&tab=clinical,"Curated GtoPdb comment states dosulepin has anticholinergic effects, supporting muscarinic receptor antagonism. Subtype-specific assay detail was not visible in the retrieved summary.",2026-04-16
Dosulepin,Tricyclic,M5,Antagonist,Antagonist,,92,92,False,1.96378782734556,7.03621217265444,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7549&tab=clinical,"Curated GtoPdb comment states dosulepin has anticholinergic effects, supporting muscarinic receptor antagonism. Subtype-specific assay detail was not visible in the retrieved summary.",2026-04-16
Dosulepin,Tricyclic,mACh,Antagonist,Antagonist,25,26,25.4950975679639,True,1.40645667832143,7.59354332167857,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7549&tab=clinical,"Curated GtoPdb comment states dosulepin has anticholinergic effects, supporting muscarinic receptor antagonism. The summary does not separate receptor subtypes.",2026-04-16
Dosulepin,Tricyclic,H1,Antagonist,Antagonist,3.6,4,3.79473319220206,True,0.579181246047625,8.42081875395238,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7549&tab=clinical,"Curated GtoPdb comment states dosulepin has antihistamine effects, supporting H1 antagonism. The summary does not specify a single receptor assay system.",2026-04-16
Doxepin,Tricyclic,DAT,,,10000,,10000,False,4,5,,,2026-04-16
Doxepin,Tricyclic,D2,,,,360,360,False,2.55630250076729,6.44369749923271,,,2026-04-16
Doxepin,Tricyclic,SERT,,,68,95,80.3741251896405,True,1.90511625899754,7.09488374100246,,,2026-04-16
Doxepin,Tricyclic,5-HT1A,,,,276,276,False,2.44090908206522,6.55909091793478,,,2026-04-16
Doxepin,Tricyclic,5-HT2A,,,11,27,17.2336879396141,True,1.23637822465861,7.76362177534139,,,2026-04-16
Doxepin,Tricyclic,5-HT2C,,,,200,200,False,2.30102999566398,6.69897000433602,,,2026-04-16
Doxepin,Tricyclic,5-HT6,,,,136,136,False,2.13353890837022,6.86646109162978,,,2026-04-16
Doxepin,Tricyclic,NET,Inhibitor,Antagonist,30,58,41.7133072292284,True,1.6202746241413,7.3797253758587,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=1225,"The curated GtoPdb ligand page states doxepin inhibits the sodium-dependent noradrenaline transporter SLC6A2, supporting NET inhibition. The retrieved source is a curated mechanism summary rather than a single uptake assay record.",2026-04-16
Doxepin,Tricyclic,α1,,,,24,24,False,1.38021124171161,7.61978875828839,,,2026-04-16
Doxepin,Tricyclic,α1B,,,,12,12,False,1.07918124604762,7.92081875395238,,,2026-04-16
Doxepin,Tricyclic,α2A,,,1100,1270,1181.94754536739,True,3.07259820305709,5.92740179694291,,,2026-04-16
Doxepin,Tricyclic,α2B,,,,28,28,False,1.44715803134222,7.55284196865778,,,2026-04-16
Doxepin,Tricyclic,α2C,,,,96,96,False,1.98227123303957,7.01772876696043,,,2026-04-16
Doxepin,Tricyclic,M1,,,18,38,26.153393661244,True,1.41752805086006,7.58247194913994,,,2026-04-16
Doxepin,Tricyclic,M2,,,160,230,191.833260932509,True,2.28292390933676,6.71707609066324,,,2026-04-16
Doxepin,Tricyclic,M3,,,25,52,36.0555127546399,True,1.55697167615342,7.44302832384658,,,2026-04-16
Doxepin,Tricyclic,M4,,,20,82,40.4969134626332,True,1.60742192402385,7.39257807597615,,,2026-04-16
Doxepin,Tricyclic,M5,,,5.6,75,20.4939015319192,True,1.31162464519895,7.68837535480105,,,2026-04-16
Doxepin,Tricyclic,mACh,,,23,80,42.8952211790544,True,1.63240891150477,7.36759108849523,,,2026-04-16
