gtp_ligand_id,target_uniprot,gtp_interaction_count,gtp_action_set,gtp_type_set,gtp_selectivity_set,gtp_primary_target_set,gtp_affinity_units_set,gtp_affinity_median_set,gtp_pubmed_ids
1031,P33766,1,Full agonist,Agonist,Not Determined,False,pEC50,6.6,17948261|11395373
10310,Q99500,1,Antagonist,Antagonist,Selective,False,pKi,6.960000038146973,20097776
10311,O95977,1,Agonist,Agonist,Selective,False,pEC50,7.25,21982495
10312,O95977,1,Antagonist,Antagonist,Selective,False,pIC50,7.599999904632568,21570287|23913862
10313,P11802,1,Inhibition,Inhibitor,Not Determined,False,pIC50,9.0,
10313,Q00534,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.329999923706055,
10314,P04629,1,Inhibition,Inhibitor,Not Determined,False,pIC50,9.300000190734863,
10314,Q16288,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.600000381469727,
10314,Q16620,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.489999771118164,
10315,P43116,1,Agonist,Agonist,Selective,False,pKi,8.4399995803833,29332128
10316,O60674,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.979999542236328,30093503
10316,P04629,1,Inhibition,Inhibitor,Not Determined,False,pIC50,9.279999732971191,30093503
10316,P08922,1,Inhibition,Inhibitor,Not Determined,False,pIC50,10.149999618530272,30093503
10316,Q16288,1,Inhibition,Inhibitor,Not Determined,False,pIC50,9.68000030517578,30093503
10316,Q16620,1,Inhibition,Inhibitor,Not Determined,False,pIC50,9.520000457763672,30093503
10316,Q9UM73,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.979999542236328,30093503
10317,O00311,1,Inhibition,Inhibitor,Not Determined,False,-,,
10318,P07949,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.849999904632568,
10319,O75874,1,Inhibition,Inhibitor,Not Determined,False,pIC50,,
10321,Q9ULV1,2,Negative|Positive,Allosteric modulator,Not Determined,False,pEC50|pIC50,6.400000095367432,25751279|29293331
10322,Q9ULV1,1,Negative,Allosteric modulator,Not Determined,False,pIC50,6.199999809265137,29293331|25751279
10323,O75084,1,Antagonist,Antagonist,Not Determined,False,-,,29207657
10324,O75084,1,Antagonist,Antagonist,Selective,False,pIC50,7.0,29632413
10326,Q99835,1,Positive,Allosteric modulator,Not Determined,False,pEC50,5.920000076293945,23448715
10327,O60353,1,Partial agonist,Agonist,Not Determined,False,pKd,5.599999904632568,31964872
10327,P56726,1,Agonist,Agonist,Not Determined,False,pEC50,8.520000457763672,12391318
10328,P56726,1,Antagonist,Antagonist,Not Determined,False,pIC50,7.0,27338657
10329,P56726,1,Antagonist,Antagonist,Not Determined,False,pIC50,7.699999809265137,10984056
10330,P56726,1,Antagonist,Antagonist,Not Determined,False,pKi,7.699999809265137,12391318
10331,P56726,1,Antagonist,Antagonist,Not Determined,False,pIC50,7.519999980926514,12391318
10332,Q99835,1,Antagonist,Antagonist,Not Determined,False,pKd,9.520000457763672,25636740
10333,Q99835,1,Antagonist,Antagonist,Not Determined,False,pIC50,8.199999809265137,28688278
10334,P56726,1,Antagonist,Antagonist,Not Determined,False,pIC50,8.149999618530273,27180012
10335,P34998,1,Antagonist,Antagonist,Not Determined,False,pIC50,6.300000190734863,12361401
10335,Q13324,1,Antagonist,Antagonist,Selective,True,pIC50,8.890000343322754,12361401
10336,O95069,1,,Activator,Not Determined,False,pEC50,5.260000228881836,30089357
10336,P57789,1,,Activator,Not Determined,False,pEC50,5.099999904632568,30089357
10337,O95069,2,,Activator,Not Determined,False,pEC50,6.050000190734863|6.119999885559082,29150838
10337,P57789,1,,Activator,Not Determined,False,-,,29150838
10338,Q99572,1,Positive,Allosteric modulator,Not Determined,False,-,,15383600
10339,Q7KWJ5,1,,,Not Determined,False,pEC50,5.849999904632568,25894322
1034,O08790,1,Full agonist,Agonist,Not Determined,False,pKd,8.82,9151906
1034,O75388,1,Full agonist,Agonist,Non-selective,False,pEC50,9.699999809265137,20080636
1034,P25090,2,Full agonist|Partial agonist,Agonist,Not Determined|Selective,False,pEC50|pKd,12.0,8006586|8006586|1322894
10340,Q9H244,1,Antagonist,Antagonist,Not Determined,False,pIC50,6.53000020980835,30843696
10341,O60603,1,Agonist,Agonist,Not Determined,False,pEC50,9.960000038146973,30272974
10342,P23975,2,Inhibition,Inhibitor,Not Determined,False,pIC50|pKi,5.360000133514404|5.429999828338623,29891587
10342,Q01959,2,Inhibition,Inhibitor,Not Determined,False,pIC50|pKi,4.849999904632568|5.539999961853027,29891587
10343,Q14164,1,Inhibition,Inhibitor,Not Determined,False,pKd,6.099999904632568,31097999
10343,Q9UHD2,1,Inhibition,Inhibitor,Selective,True,pKd,8.0,31097999
10344,P42330,1,Inhibition,Inhibitor,Selective,True,pIC50,6.519999980926514,30996776
10345,Q9Y2T6,1,Inverse agonist,Agonist,Not Determined,False,-,,30996770
10346,Q9Y271,1,Antagonist,Antagonist,Selective,False,pIC50,8.0,10391245
10347,P19793,1,Antagonist,Antagonist,Not Determined,False,pIC50,5.619999885559082,20541701
10348,P20272,1,Partial agonist,Agonist,Not Determined,False,pKi,7.260000228881836,15140913
10348,P21554,1,Partial agonist,Agonist,Not Determined,False,pKi,7.320000171661377,15140913
10348,P34972,1,Partial agonist,Agonist,Not Determined,False,pKi,7.340000152587891,15140913
10349,P25103,1,Antagonist,Antagonist,Not Determined,False,pIC50,9.720000267028809,11708932
10351,P0DMS8,1,Antagonist,Antagonist,Selective,True,pKi,8.0,30869893
10351,P29274,1,Antagonist,Antagonist,Not Determined,False,pKi,5.900000095367432,30869893
10351,P30542,1,Antagonist,Antagonist,Not Determined,False,pKi,6.099999904632568,30869893
10353,P07766,1,Binding,Antibody,Selective,True,pKd,6.75,
10353,Q5QGZ9,1,Binding,Antibody,Selective,True,pKd,8.520000457763672,
10354,Q13535,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.149999618530273,
10355,O08562,1,Inhibition,Channel blocker,Not Determined,False,pKd,7.480000019073486,30943032
10355,P35498,1,Inhibition,Channel blocker,Not Determined,False,pKd,6.0,30943032
10355,P35499,1,Inhibition,Channel blocker,Not Determined,False,pKd,6.0,30943032
10355,Q14524,1,Inhibition,Channel blocker,Not Determined,False,pKd,6.0,30943032
10355,Q15858,2,Inhibition,Channel blocker,Selective,True,pKd|pKi,9.100000381469728|9.420000076293944,30943032
10355,Q99250,1,Inhibition,Channel blocker,Not Determined,False,pKd,7.920000076293945,30943032
10355,Q9NY46,1,Inhibition,Channel blocker,Not Determined,False,pKd,6.0,30943032
10355,Q9UQD0,1,Inhibition,Channel blocker,Not Determined,False,pKd,7.539999961853027,30943032
10356,Q99835,1,Agonist,Agonist,Not Determined,False,pEC50,6.0,16408088
10357,O96017,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.28000020980835,30943029
10357,P06493,1,Inhibition,Inhibitor,Not Determined,False,pKi,7.050000190734863,30943029
10357,P11802,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.21999979019165,30943029
10357,P24941,2,Inhibition,Inhibitor,Not Determined,False,pIC50,8.220000267028809|8.699999809265137,30943029
10357,P48730,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.349999904632568,30943029
10357,P50750,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.599999904632568,30943029
10357,Q00535,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.820000171661377,30943029
10358,O15229,2,Inhibition,Inhibitor,Not Determined,False,pIC50|pKi,10.300000190734863|8.600000381469727,28604669
10360,P04629,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.520000457763672,
10361,O00444,1,Inhibition,Inhibitor,Not Determined,False,pKd,7.960000038146973,20814247
10361,O14965,1,Inhibition,Inhibitor,Not Determined,False,pKd,7.019999980926514,20814247
10361,O60674,1,Inhibition,Inhibitor,Not Determined,False,pKd,7.539999961853027,20814247
10361,P07949,1,Inhibition,Inhibitor,Not Determined,False,pKd,7.659999847412109,20814247
10361,P10721,1,Inhibition,Inhibitor,Not Determined,False,pKd,7.590000152587891,20814247
10361,P17948,1,Inhibition,Inhibitor,Not Determined,False,pKd,8.050000190734863,20814247
10361,P35968,1,Inhibition,Inhibitor,Not Determined,False,pKd,7.820000171661377,20814247
10361,P36888,1,Inhibition,Inhibitor,Not Determined,False,pKd,7.960000038146973,20814247
10362,Q9NS86,1,Binding,,Not Determined,False,pKd,7.960000038146973,17389374
10362,Q9NYW5,1,Antagonist,Antagonist,Not Determined,False,pIC50,4.460000038146973,25844797
10363,Q9NS86,1,Binding,,Not Determined,False,pKd,5.110000133514404,27933891
10364,Q9NS86,1,Binding,,Not Determined,False,-,,27933891|22509338
10365,O00329,1,Inhibition,Inhibitor,Selective,True,pIC50,8.40999984741211,30986068
10365,P42336,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.570000171661377,30986068
10365,P42338,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.260000228881836,30986068
10365,P48736,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.420000076293945,30986068
10366,P51449,3,Inverse agonist,Agonist,Selective,True,pIC50|pKd,6.119999885559082|6.420000076293945|7.519999980926514,30964293
10367,P16591,1,Inhibition,Inhibitor,Not Determined,False,pIC50,9.3100004196167,31097992
10368,P10721,1,Inhibition,Inhibitor,Selective,False,pIC50,7.139999866485596,29093181
10369,P03372,1,Agonist,Agonist,Not Determined,False,pIC50,6.949999809265137,
10369,P15207,1,Agonist,Agonist,Not Determined,False,pIC50,7.659999847412109,
10371,O43781,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.980000019073486,30998356
10371,P29376,1,Inhibition,Inhibitor,Not Determined,False,pKi,6.25,30998356
10371,P33981,1,Inhibition,Inhibitor,Not Determined,True,pIC50,9.149999618530272,30998356
10371,P45983,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.489999771118164,30998356
10371,P45984,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.230000019073486,30998356
10371,P49760,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.579999923706055,30998356
10371,P53779,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.96999979019165,30998356
10371,Q5S007,1,Inhibition,Inhibitor,Not Determined,False,pIC50,9.0,30998356
10371,Q9BXA7,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.659999847412109,30998356
10372,P08183,2,Competitive,Inhibitor,Not Determined,False,pIC50,5.760000228881836|6.170000076293945,30925062
10372,P33527,1,Competitive,Inhibitor,Not Determined,False,pIC50,5.300000190734863,30925062
10372,Q9UNQ0,1,Non-competitive,Inhibitor,Not Determined,False,pIC50,5.619999885559082,30925062
10373,P18031,1,Inhibition,Inhibitor,Not Determined,False,pKi,5.099999904632568,30979725
10373,Q9Y2R2,1,Inhibition,Inhibitor,Selective,True,pKi,5.369999885559082,30979725
10374,P18031,1,Inhibition,Inhibitor,Not Determined,False,pIC50,4.929999828338623,18056643
10374,Q9Y2R2,2,Inhibition,Inhibitor,Not Determined,False,pIC50|pKi,5.340000152587891|5.539999961853027,18056643
10375,P34998,1,Antagonist,Antagonist,Not Determined,False,pKi,8.289999961853027,16078829
10376,P34998,1,Antagonist,Antagonist,Not Determined,False,pIC50,8.399999618530273,21865047
10377,P34998,1,Antagonist,Antagonist,Not Determined,False,pKi,8.069999694824219,18260619
10377,P35353,1,Antagonist,Antagonist,Not Determined,False,pIC50,8.170000076293945,18260619
10378,P34998,1,Antagonist,Antagonist,Not Determined,False,pKi,8.199999809265137,21074436
10379,P34998,1,Antagonist,Antagonist,Not Determined,False,pIC50,6.46999979019165,28174066
10379,P35353,1,Antagonist,Antagonist,Not Determined,False,pIC50,6.889999866485596,28174066
10380,Q9HB89,1,Agonist,Agonist,Selective,True,pEC50,9.600000381469728,28548497
10381,Q9GZQ4,1,Agonist,Agonist,Selective,False,pEC50,8.770000457763672,30151213
10382,P48048,1,Inhibition,Channel blocker,Selective,True,pIC50,8.220000267028809,27437080
10382,Q12809,1,Inhibition,Channel blocker,Not Determined,False,pIC50,4.659999847412109,27437080
10383,P01116,1,Inhibition,Inhibitor,Not Determined,True,pIC50,6.920000076293945,29373830
10384,P0C024,1,Inhibition,Inhibitor,Not Determined,True,pIC50,5.960000038146973,
10385,P35968,1,Inhibition,Inhibitor,Not Determined,False,-,,30878834
10386,Q9UGC6,1,Inhibition,Inhibitor,Not Determined,False,pIC50,4.980000019073486,28621943
10387,P04049,2,Inhibition,Inhibitor,Not Determined,False,pIC50|pKd,8.850000381469727|9.279999732971191,23906342
10387,P09619,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.920000076293945,23906342
10387,P15056,2,Inhibition,Inhibitor,Not Determined,False,pIC50|pKd,8.079999923706055|8.800000190734863,23906342
10387,P22607,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.550000190734863,23906342
10387,Q13546,1,Inhibition,Inhibitor,Not Determined,False,pKd,6.320000171661377,30825190
10387,Q96GD4,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.179999828338623,23906342
10387,Q9Y572,1,Inhibition,Inhibitor,Not Determined,False,pKd,6.980000019073486,30825190
10388,P15056,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.489999771118164,30825190
10388,Q13546,1,Inhibition,Inhibitor,Not Determined,False,pKd,7.010000228881836,30825190
10388,Q9Y572,1,Inhibition,Inhibitor,Not Determined,False,pKd,7.110000133514404,30825190
10389,P04049,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.960000038146973,
10389,P08581,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.960000038146973,
10389,P09769,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.920000076293945,
10389,P29322,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.590000152587891,
10389,P29323,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.0,
10389,P54756,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.849999904632568,
10389,Q13546,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.260000228881836,
10389,Q16832,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.960000038146973,
10389,Q8IVH8,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.920000076293945,
10389,Q9Y572,1,Inhibition,Inhibitor,Not Determined,True,pIC50,8.039999961853027,
1039,P25090,1,Antagonist,Antagonist,Selective,False,pEC50,5.179999828338623,17652444
10390,P49238,1,Antagonist,Antagonist,Not Determined,False,pIC50,9.489999771118164,27001765
10394,P56817,1,Inhibition,Inhibitor,Not Determined,False,pKi,6.090000152587891,30637955
10394,Q9Y5Z0,1,Inhibition,Inhibitor,Selective,False,pKi,8.800000190734863,30637955
10398,Q8IDJ8,1,,,Not Determined,False,pEC50,6.570000171661377,30894487
104,P08908,1,Positive,Allosteric modulator,Not Determined,False,pKi,,9707291
1040,P25089,1,Antagonist,Antagonist,,False,pIC50,6.0,16476585
1040,P25090,1,Antagonist,Antagonist,Not Determined,False,pIC50,6.639999866485596,15210823
10400,P51160,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.480000019073486,31099559
10400,Q08499,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.619999885559082,31099559
10400,Q9Y233,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.039999961853027,31099559
10401,Q13546,1,Inhibition,Inhibitor,Not Determined,False,pKd,5.300000190734863,31095385
10401,Q9Y572,1,Inhibition,Inhibitor,Selective,True,pKd,7.090000152587891,31095385
10402,O43353,1,Inhibition,Inhibitor,Not Determined,False,pKd,7.239999771118164,31244114
10402,P00519,2,Inhibition,Inhibitor,Not Determined,False,pIC50|pKd,7.820000171661377|8.399999618530273,31244114
10402,P06239,1,Inhibition,Inhibitor,Not Determined,False,pKd,6.800000190734863,31244114
10402,P51451,1,Inhibition,Inhibitor,Not Determined,False,pKd,6.71999979019165,31244114
10402,P53667,1,Inhibition,Inhibitor,Not Determined,False,pKd,7.639999866485596,31244114
10402,P53671,1,Inhibition,Inhibitor,Not Determined,False,pKd,7.199999809265137,31244114
10402,Q9NYL2,2,Inhibition,Inhibitor,Not Determined|Selective,False|True,pIC50|pKd,8.100000381469727|8.399999618530273,31244114
10403,Q2M2I8,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.399999618530273,31136173
10405,O60669,1,,Inhibitor,Not Determined,False,pIC50,8.300000190734863,30115664
10405,P53985,2,,Inhibitor,Not Determined,False,pIC50|pKi,8.300000190734863|9.0,30115664
10406,O43353,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.279999732971191,25213858
10408,P32245,1,Agonist,Agonist,Not Determined,False,pKi,9.600000381469728,22335602|31599840
10408,P33032,1,Agonist,Agonist,Not Determined,False,pKi,7.769999980926514,22335602
10408,P41968,1,Agonist,Agonist,Not Determined,False,pKi,7.28000020980835,22335602
10408,Q01726,1,Agonist,Agonist,Not Determined,False,pKi,8.1899995803833,22335602
10409,P28062,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.409999847412109,30380863
10409,P28063,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.239999771118164,30380863
10409,P28065,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.880000114440918,30380863
10409,P28074,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.159999847412109,30380863
10409,P28076,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.75,30380863
10409,P49721,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.21999979019165,30380863
1041,P25090,1,Antagonist,Antagonist,,False,pEC50,,8573582
10415,A0A143ZZK9,1,,,Not Determined,False,pEC50,7.739999771118164,25422853
10416,P51679,1,Antagonist,Antagonist,Selective,True,pIC50,7.829999923706055,23409871
10416,P51681,1,Antagonist,Antagonist,Not Determined,False,pIC50,5.199999809265137,23409871
10417,P51679,1,Antagonist,Antagonist,Not Determined,False,pIC50,7.400000095367432,31259550
10419,O43353,1,Inhibition,Inhibitor,Selective,True,pIC50,8.300000190734863,31265286
10420,P07333,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.739999771118164,31250638
10420,P09619,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.010000228881836,31250638
10420,P10721,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.399999618530273,31250638
10420,P16234,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.599999904632568,31250638
10420,P35916,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.920000076293945,31250638
10420,Q08345,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.869999885559082,31250638
10421,Q9UL62,1,Activation,Activator,Selective,False,pEC50,7.699999809265137,31277085
10422,P29371,1,Antagonist,Antagonist,Selective,True,pKi,7.599999904632568,26191358
10423,O75116,1,Inhibition,Inhibitor,Not Determined,True,pIC50,7.71999979019165,24502505
10423,P17612,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.679999828338623,24502505
10423,Q13464,1,Inhibition,Inhibitor,Not Determined,True,pIC50,7.289999961853027,24502505
10424,O75116,2,Inhibition,Inhibitor,Not Determined,True,pIC50|pKd,7.949999809265137|9.289999961853027,31330446
10424,Q13464,2,Inhibition,Inhibitor,Not Determined,True,pIC50|pKd,8.779999732971191|8.90999984741211,31330446
10425,O75116,1,Inhibition,Inhibitor,Not Determined,True,pIC50,8.109999656677246,30753868
10425,Q13464,1,Inhibition,Inhibitor,Not Determined,True,pIC50,8.0,30753868
10426,P11802,1,Inhibition,Inhibitor,Not Determined,False,pKi,8.859999656677246,
10426,P24941,1,Inhibition,Inhibitor,Not Determined,False,pKi,9.920000076293944,
10426,Q00534,1,Inhibition,Inhibitor,Not Determined,False,pKi,10.100000381469728,
10427,P31644,1,Negative,Allosteric modulator,Not Determined,False,pKi,8.329999923706055,
10428,P06241,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.78000020980835,31260299
10428,P12931,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.039999961853027,31260299
10428,P42680,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.639999866485596,31260299
10428,P51451,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.820000171661377,31260299
10428,Q06187,1,Inhibition,Inhibitor,Selective,True,pIC50,8.279999732971191,31260299
10428,Q08881,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.510000228881836,31260299
10429,P53779,1,Inhibition,Inhibitor,Selective,True,pIC50,7.400000095367432,31268308
1043,P25090,1,Antagonist,Antagonist,Selective,False,pIC50,7.0,22706076
10430,Q99683,1,Inhibition,Inhibitor,Not Determined,True,pIC50,8.539999961853027,26180085
10431,Q99720,1,Antagonist,Antagonist,Selective,True,pKi,7.769999980926514,22784008
10432,P23458,1,Inhibition,Allosteric modulator,Not Determined,False,pIC50,9.0,31318208
10432,P29597,2,Inhibition,Allosteric modulator,Selective,True,pIC50|pKi,10.699999809265137|9.699999809265137,31318208
10432,Q13873,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.710000038146973,31318208
10433,O43570,1,Inhibition,Inhibitor,Not Determined,False,pKi,6.110000133514404,31287314
10433,P00915,1,Inhibition,Inhibitor,Not Determined,False,pKi,6.070000171661377,31287314
10433,P00918,1,Inhibition,Inhibitor,Not Determined,False,pKi,7.019999980926514,31287314
10433,P22748,1,Inhibition,Inhibitor,Not Determined,False,pKi,5.0,31287314
10433,Q16790,1,Inhibition,Inhibitor,Not Determined,False,pKi,6.380000114440918,31287314
10434,O43570,1,Inhibition,Inhibitor,Not Determined,False,pKi,5.0,31287314
10434,P00915,1,Inhibition,Inhibitor,Not Determined,False,pKi,6.050000190734863,31287314
10434,P00918,1,Inhibition,Inhibitor,Not Determined,False,pKi,6.670000076293945,31287314
10434,P22748,1,Inhibition,Inhibitor,Not Determined,False,pKi,6.03000020980835,31287314
10434,Q16790,1,Inhibition,Inhibitor,Not Determined,False,pKi,5.0,31287314
10435,Q9NYK1,1,Antagonist,Antagonist,Not Determined,False,pIC50,5.090000152587891,31283223
10437,P17612|P22612|P22694|P10644|P31321|P13861|P31323,1,Inhibition,Inhibitor,Not Determined,False,pIC50,9.520000457763672,31298542
10437,P23443,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.050000190734863,31298542
10437,P31749,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.859999656677246,31298542
10437,P31751,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.920000076293945,31298542
10437,Q13464,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.190000057220459,31298542
10437,Q15418,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.880000114440918,31298542
10437,Q9Y243,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.770000457763672,31298542
10438,P37059,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.210000038146973,31343176
10438,P51658,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.659999847412109,31343176
10439,P10275,1,Antagonist,Antagonist,Not Determined,True,pIC50,7.590000152587891,26137992
10439,P15207,1,Antagonist,Antagonist,Not Determined,False,pKi,7.960000038146973,26137992
1044,P21462,1,Full agonist,Agonist,Not Determined,False,pEC50,,10882119|12560218
1044,P25089,1,Full agonist,Agonist,Not Determined,False,pEC50,,15187149
1044,P25090,1,Full agonist,Agonist,Not Determined,False,pEC50,,10882119|12560218|12368905|16278303
10440,Q15743,1,Positive,Allosteric modulator,Not Determined,True,pKB,5.849999904632568,31298539
10441,O00329,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.960000038146973,31335136
10441,P42336,1,Inhibition,Inhibitor,Not Determined,False,pIC50,9.0600004196167,31335136
10441,P42338,1,Inhibition,Inhibitor,Not Determined,False,pIC50,9.149999618530272,31335136
10441,P48736,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.800000190734863,31335136
10442,Q96RI0,1,Antagonist,Antagonist,Not Determined,False,pIC50,8.619999885559082,31246024
10443,P29274,1,Antagonist,Antagonist,Not Determined,False,pKi,7.170000076293945,31306001
10443,P30542,1,Inverse agonist,Agonist,Not Determined,False,pKi,8.140000343322754,31306001
10444,P30518,1,Agonist,Agonist,Not Determined,False,pKi,5.78000020980835,30199637
10444,P30559,1,Agonist,Agonist,Not Determined,True,pKi,6.650000095367432,30199637
10444,P37288,1,Agonist,Agonist,Not Determined,False,pKi,5.900000095367432,30199637
10445,Q6PL18,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.5,31398032
10445,Q9ULI0,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.300000190734863,31398032
10446,P19327,1,Agonist,Agonist,Not Determined,False,pKi,7.150000095367432,9050026
10446,P28221,1,Agonist,Agonist,Not Determined,False,pKi,8.359999656677246,9050026
10446,P28222,1,Agonist,Agonist,Not Determined,False,pKi,7.679999828338623,9050026
10446,P28564,1,Agonist,Agonist,Not Determined,False,pKi,7.440000057220459,9050026
10447,Q12809,1,Negative,Allosteric modulator,Not Determined,False,pIC50,5.409999847412109,27071825
10448,P35354,1,Inhibition,Inhibitor,Selective,True,pIC50,6.440000057220459,31445233
1045,P25089,1,Full agonist,Agonist,Not Determined,False,pKd,8.0,15623572
10450,P05106,1,Inhibition,Inhibitor,Not Determined,False,pKi,6.800000190734863,31381331
10450,P05556,1,Inhibition,Inhibitor,Not Determined,False,pKi,7.699999809265137,31381331
10450,P18084,1,Inhibition,Inhibitor,Not Determined,False,pKi,7.300000190734863,31381331
10450,P18564,1,Inhibition,Inhibitor,Selective,True,pKi,9.970000267028809,31381331
10450,P26012,1,Inhibition,Inhibitor,Not Determined,False,pKi,7.599999904632568,31381331
10451,Q08499,4,Negative,Allosteric modulator,Not Determined|Selective,False|True,pIC50,5.989999771118164|6.900000095367432|8.109999656677246|8.130000114440918,31013090
10452,P35372,1,Antagonist,Antagonist,Not Determined,False,pIC50,6.960000038146973,30707578
10452,P41143,1,Antagonist,Antagonist,Not Determined,False,pIC50,5.190000057220459,30707578
10452,P41145,1,Antagonist,Antagonist,Selective,True,pIC50,9.100000381469728,30707578
10453,P21397,1,Inhibition,Inhibitor,Selective,False,pIC50,6.690000057220459,21647215
10454,P08908,1,Agonist,Agonist,Not Determined,False,pIC50,5.639999866485596,31371483
10454,Q96RJ0,1,Agonist,Agonist,Selective,True,pIC50,6.849999904632568,31371483
10455,P07550,2,Partial agonist,Agonist,Not Determined|Selective,False,pEC50|pKi,,10531390|20590599|35732075|20590599|35732075
10455,Q923Y8,1,Agonist,Agonist,Not Determined,False,pEC50,4.800000190734863,24799633
10456,P00533,2,Inhibition,Inhibitor,Not Determined,True,pIC50,8.140000343322754|9.520000457763672,26313252
10456,Q12809,1,Inhibition,Inhibitor,Not Determined,False,pIC50,4.880000114440918,26313252
10457,Q06187,1,Inhibition,Inhibitor,Not Determined,False,pIC50,9.0,
10458,O60674,1,Inhibition,Inhibitor,Not Determined,True,pKi,10.0,
10458,P23458,1,Inhibition,Inhibitor,Not Determined,True,pKi,10.0,
10458,P29597,1,Inhibition,Inhibitor,Not Determined,False,pKi,,
10458,P52333,1,Inhibition,Inhibitor,Not Determined,False,pKi,,
10459,O60674,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.110000133514404,30113844
10459,P23458,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.769999980926514,30113844
10459,P29597,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.639999866485596,30113844
10459,P52333,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.190000057220459,30113844
1046,P25089,1,Full agonist,Agonist,,False,pEC50,5.0,11602630
1046,P25090,1,Agonist,Agonist,Not Determined,False,-,,11602630
10460,P08581,1,Inhibition,Inhibitor,Not Determined,False,pKi,7.409999847412109,24140932
10460,P35968,1,Inhibition,Inhibitor,Not Determined,False,pKi,7.920000076293945,24140932
