Type,gtp_family_id,gtp_family_name,gtp_target_id,gtp_target_name,hgnc_symbol,target_uniprot
gpcr,17,Adhesion Class GPCRs,175,ADGRB2,ADGRB2,O60241
gpcr,17,Adhesion Class GPCRs,176,ADGRB3,ADGRB3,O60242
gpcr,17,Adhesion Class GPCRs,178,<i>CELSR1</i>,CELSR1,Q9NYQ6
gpcr,17,Adhesion Class GPCRs,179,<i>CELSR2</i>,CELSR2,Q9HCU4
gpcr,17,Adhesion Class GPCRs,180,<i>CELSR3</i>,CELSR3,Q9NYQ7
gpcr,17,Adhesion Class GPCRs,202,ADGRD1,ADGRD1,Q6QNK2
gpcr,17,Adhesion Class GPCRs,204,ADGRD2,ADGRD2,Q7Z7M1
gpcr,17,Adhesion Class GPCRs,182,ADGRE1,ADGRE1,Q14246
gpcr,17,Adhesion Class GPCRs,183,ADGRE2,ADGRE2,Q9UHX3
gpcr,17,Adhesion Class GPCRs,184,ADGRE3,ADGRE3,Q9BY15
gpcr,17,Adhesion Class GPCRs,185,ADGRE4P,ADGRE4P,Q86SQ3
gpcr,17,Adhesion Class GPCRs,177,ADGRE5,ADGRE5,P48960
gpcr,17,Adhesion Class GPCRs,190,ADGRF1,ADGRF1,Q5T601
gpcr,17,Adhesion Class GPCRs,191,ADGRF2,ADGRF2P,Q8IZF7
gpcr,17,Adhesion Class GPCRs,193,ADGRF3,ADGRF3,Q8IZF5
gpcr,17,Adhesion Class GPCRs,195,ADGRF4,ADGRF4,Q8IZF3
gpcr,17,Adhesion Class GPCRs,196,ADGRF5,ADGRF5,Q8IZF2
gpcr,17,Adhesion Class GPCRs,186,ADGRG1,ADGRG1,Q9Y653
gpcr,17,Adhesion Class GPCRs,187,ADGRG2,ADGRG2,Q8IZP9
gpcr,17,Adhesion Class GPCRs,188,ADGRG3,ADGRG3,Q86Y34
gpcr,17,Adhesion Class GPCRs,192,ADGRG4,ADGRG4,Q8IZF6
gpcr,17,Adhesion Class GPCRs,194,ADGRG5,ADGRG5,Q8IZF4
gpcr,17,Adhesion Class GPCRs,200,ADGRG6,ADGRG6,Q86SQ4
gpcr,17,Adhesion Class GPCRs,201,ADGRG7,ADGRG7,Q96K78
gpcr,17,Adhesion Class GPCRs,206,ADGRL1,ADGRL1,O94910
gpcr,17,Adhesion Class GPCRs,207,ADGRL2,ADGRL2,O95490
gpcr,17,Adhesion Class GPCRs,208,ADGRL3,ADGRL3,Q9HAR2
gpcr,17,Adhesion Class GPCRs,181,ADGRL4,ADGRL4,Q9HBW9
gpcr,17,Adhesion Class GPCRs,189,ADGRV1,ADGRV1,Q8WXG9
gpcr,4,Adrenoceptors,22,&alpha;<sub>1A</sub>-adrenoceptor,ADRA1A,P35348
gpcr,4,Adrenoceptors,23,&alpha;<sub>1B</sub>-adrenoceptor,ADRA1B,P35368
gpcr,4,Adrenoceptors,24,&alpha;<sub>1D</sub>-adrenoceptor,ADRA1D,P25100
gpcr,4,Adrenoceptors,25,&alpha;<sub>2A</sub>-adrenoceptor,ADRA2A,P08913
gpcr,4,Adrenoceptors,26,&alpha;<sub>2B</sub>-adrenoceptor,ADRA2B,P18089
gpcr,4,Adrenoceptors,27,&alpha;<sub>2C</sub>-adrenoceptor,ADRA2C,P18825
gpcr,4,Adrenoceptors,28,&beta;<sub>1</sub>-adrenoceptor,ADRB1,P08588
gpcr,4,Adrenoceptors,29,&beta;<sub>2</sub>-adrenoceptor,ADRB2,P07550
gpcr,4,Adrenoceptors,30,&beta;<sub>3</sub>-adrenoceptor,ADRB3,P13945
gpcr,6,Angiotensin receptors,34,AT<sub>1</sub> receptor,AGTR1,P30556
gpcr,6,Angiotensin receptors,35,AT<sub>2</sub> receptor,AGTR2,P50052
gpcr,7,Apelin receptor,36,apelin receptor,APLNR,P35414
gpcr,8,Bile acid receptor,37,GPBA receptor,GPBAR1,Q8TDU6
gpcr,9,Bombesin receptors,38,BB<sub>1</sub> receptor,NMBR,P28336
gpcr,9,Bombesin receptors,39,BB<sub>2</sub> receptor,GRPR,P30550
gpcr,9,Bombesin receptors,40,BB<sub>3</sub> receptor,BRS3,P32247
gpcr,10,Bradykinin receptors,41,B<sub>1</sub> receptor,BDKRB1,P46663
gpcr,10,Bradykinin receptors,42,B<sub>2</sub> receptor,BDKRB2,P30411
gpcr,11,Calcitonin receptors,43,CT receptor,CALCR,P30988
gpcr,11,Calcitonin receptors,47,calcitonin receptor-like receptor,CALCRL,Q16602
gpcr,12,Calcium-sensing receptor,54,CaS receptor,CASR,P41180
gpcr,13,Cannabinoid receptors,56,CB<sub>1</sub> receptor,CNR1,P21554
gpcr,13,Cannabinoid receptors,57,CB<sub>2</sub> receptor,CNR2,P34972
gpcr,338,Chemerin receptors,79,chemerin receptor 1,CMKLR1,Q99788
gpcr,338,Chemerin receptors,82,chemerin receptor 2,CMKLR2,P46091
gpcr,14,Chemokine receptors,58,CCR1,CCR1,P32246
gpcr,14,Chemokine receptors,59,CCR2,CCR2,P41597
gpcr,14,Chemokine receptors,60,CCR3,CCR3,P51677
gpcr,14,Chemokine receptors,61,CCR4,CCR4,P51679
gpcr,14,Chemokine receptors,62,CCR5,CCR5,P51681
gpcr,14,Chemokine receptors,63,CCR6,CCR6,P51684
gpcr,14,Chemokine receptors,64,CCR7,CCR7,P32248
gpcr,14,Chemokine receptors,65,CCR8,CCR8,P51685
gpcr,14,Chemokine receptors,66,CCR9,CCR9,P51686
gpcr,14,Chemokine receptors,67,CCR10,CCR10,P46092
gpcr,14,Chemokine receptors,68,CXCR1,CXCR1,P25024
gpcr,14,Chemokine receptors,69,CXCR2,CXCR2,P25025
gpcr,14,Chemokine receptors,70,CXCR3,CXCR3,P49682
gpcr,14,Chemokine receptors,71,CXCR4,CXCR4,P61073
gpcr,14,Chemokine receptors,72,CXCR5,CXCR5,P32302
gpcr,14,Chemokine receptors,73,CXCR6,CXCR6,O00574
gpcr,14,Chemokine receptors,74,CX<sub>3</sub>CR1,CX3CR1,P49238
gpcr,14,Chemokine receptors,75,XCR1,XCR1,P46094
gpcr,14,Chemokine receptors,316,ACKR1,ACKR1,Q16570
gpcr,14,Chemokine receptors,314,ACKR2,ACKR2,O00590
gpcr,14,Chemokine receptors,80,ACKR3,ACKR3,P25106
gpcr,14,Chemokine receptors,315,ACKR4,ACKR4,Q9NPB9
gpcr,14,Chemokine receptors,146,ACKR5,ACKR5,O15218
gpcr,14,Chemokine receptors,78,CCRL2,CCRL2,O00421
gpcr,15,Cholecystokinin receptors,76,CCK<sub>1</sub> receptor,CCKAR,P32238
gpcr,15,Cholecystokinin receptors,77,CCK<sub>2</sub> receptor,CCKBR,P32239
gpcr,1113,Class A Orphans with emerging pharmacology,83,<i>GPR3</i>,GPR3,P46089
gpcr,1113,Class A Orphans with emerging pharmacology,84,<i>GPR4</i>,GPR4,P46093
gpcr,1113,Class A Orphans with emerging pharmacology,85,<i>GPR6</i>,GPR6,P46095
gpcr,1113,Class A Orphans with emerging pharmacology,86,<i>GPR12</i>,GPR12,P47775
gpcr,1113,Class A Orphans with emerging pharmacology,87,<i>GPR15</i>,GPR15,P49685
gpcr,1113,Class A Orphans with emerging pharmacology,90,<i>GPR19</i>,GPR19,Q15760
gpcr,1113,Class A Orphans with emerging pharmacology,95,<i>GPR25</i>,GPR25,O00155
gpcr,1113,Class A Orphans with emerging pharmacology,98,<i>GPR31</i>,GPR31,O00270
gpcr,1113,Class A Orphans with emerging pharmacology,99,<i>GPR32</i>,GPR32,O75388
gpcr,1113,Class A Orphans with emerging pharmacology,101,<i>GPR34</i>,GPR34,Q9UPC5
gpcr,1113,Class A Orphans with emerging pharmacology,102,<i>GPR35</i>,GPR35,Q9HC97
gpcr,1113,Class A Orphans with emerging pharmacology,103,<i>GPR37</i>,GPR37,O15354
gpcr,1113,Class A Orphans with emerging pharmacology,104,<i>GPR37L1</i>,GPR37L1,O60883
gpcr,1113,Class A Orphans with emerging pharmacology,105,<i>GPR39</i>,GPR39,O43194
gpcr,1113,Class A Orphans with emerging pharmacology,110,<i>GPR61</i>,GPR61,Q9BZJ8
gpcr,1113,Class A Orphans with emerging pharmacology,112,<i>GPR63</i>,GPR63,Q9BZJ6
gpcr,1113,Class A Orphans with emerging pharmacology,113,<i>GPR65</i>,GPR65,Q8IYL9
gpcr,1113,Class A Orphans with emerging pharmacology,114,<i>GPR68</i>,GPR68,Q15743
gpcr,1113,Class A Orphans with emerging pharmacology,115,<i>GPR75</i>,GPR75,O95800
gpcr,1113,Class A Orphans with emerging pharmacology,119,<i>GPR83</i>,GPR83,Q9NYM4
gpcr,1113,Class A Orphans with emerging pharmacology,122,<i>GPR87</i>,GPR87,Q9BY21
gpcr,1113,Class A Orphans with emerging pharmacology,125,<i>GPR101</i>,GPR101,Q96P66
gpcr,1113,Class A Orphans with emerging pharmacology,128,<i>GPR132</i>,GPR132,Q9UNW8
gpcr,1113,Class A Orphans with emerging pharmacology,130,<i>GPR139</i>,GPR139,Q6DWJ6
gpcr,1113,Class A Orphans with emerging pharmacology,132,<i>GPR142</i>,GPR142,Q7Z601
gpcr,1113,Class A Orphans with emerging pharmacology,133,<i>GPR146</i>,GPR146,Q96CH1
gpcr,1113,Class A Orphans with emerging pharmacology,137,<i>GPR151</i>,GPR151,Q8TDV0
gpcr,1113,Class A Orphans with emerging pharmacology,140,<i>GPR160</i>,GPR160,Q9UJ42
gpcr,1113,Class A Orphans with emerging pharmacology,142,<i>GPR162</i>,GPR162,Q16538
gpcr,1113,Class A Orphans with emerging pharmacology,143,<i>GPR171</i>,GPR171,O14626
gpcr,1113,Class A Orphans with emerging pharmacology,144,<i>GPR173</i>,GPR173,Q9NS66
gpcr,1113,Class A Orphans with emerging pharmacology,145,<i>GPR174</i>,GPR174,Q9BXC1
gpcr,1113,Class A Orphans with emerging pharmacology,81,<i>GPR183</i>,GPR183,P32249
gpcr,1113,Class A Orphans with emerging pharmacology,151,<i>MAS1L</i>,MAS1L,P35410
gpcr,1113,Class A Orphans with emerging pharmacology,152,<i>MRGPRD</i>,MRGPRD,Q8TDS7
gpcr,1113,Class A Orphans with emerging pharmacology,154,<i>MRGPRF</i>,MRGPRF,Q96AM1
gpcr,1113,Class A Orphans with emerging pharmacology,156,<i>MRGPRX1</i>,MRGPRX1,Q96LB2
gpcr,1113,Class A Orphans with emerging pharmacology,157,<i>MRGPRX2</i>,MRGPRX2,Q96LB1
gpcr,1113,Class A Orphans with emerging pharmacology,159,<i>MRGPRX4</i>,MRGPRX4,Q96LA9
gpcr,1113,Class A Orphans with emerging pharmacology,164,<i>P2RY8</i>,P2RY8,Q86VZ1
gpcr,1113,Class A Orphans with emerging pharmacology,165,<i>P2RY10</i>,P2RY10,O00398
gpcr,1111,Class A Orphans with no pharmacology,91,<i>GPR20</i>,GPR20,Q99678
gpcr,1111,Class A Orphans with no pharmacology,92,<i>GPR21</i>,GPR21,Q99679
gpcr,1111,Class A Orphans with no pharmacology,93,<i>GPR22</i>,GPR22,Q99680
gpcr,1111,Class A Orphans with no pharmacology,96,<i>GPR26</i>,GPR26,Q8NDV2
gpcr,1111,Class A Orphans with no pharmacology,97,<i>GPR27</i>,GPR27,Q9NS67
gpcr,1111,Class A Orphans with no pharmacology,106,<i>GPR45</i>,GPR45,Q9Y5Y3
gpcr,1111,Class A Orphans with no pharmacology,107,<i>GPR50</i>,GPR50,Q13585
gpcr,1111,Class A Orphans with no pharmacology,111,<i>GPR62</i>,GPR62,Q9BZJ7
gpcr,1111,Class A Orphans with no pharmacology,116,<i>GPR78</i>,GPR78,Q96P69
gpcr,1111,Class A Orphans with no pharmacology,118,<i>GPR82</i>,GPR82,Q96P67
gpcr,1111,Class A Orphans with no pharmacology,129,<i>GPR135</i>,GPR135,Q8IZ08
gpcr,1111,Class A Orphans with no pharmacology,131,<i>GPR141</i>,GPR141,Q7Z602
gpcr,1111,Class A Orphans with no pharmacology,134,<i>GPR148</i>,GPR148,Q8TDV2
gpcr,1111,Class A Orphans with no pharmacology,135,<i>GPR149</i>,GPR149,Q86SP6
gpcr,1111,Class A Orphans with no pharmacology,136,<i>GPR150</i>,GPR150,Q8NGU9
gpcr,1111,Class A Orphans with no pharmacology,138,<i>GPR152</i>,GPR152,Q8TDT2
gpcr,1111,Class A Orphans with no pharmacology,139,<i>GPR153</i>,GPR153,Q6NV75
gpcr,1111,Class A Orphans with no pharmacology,141,<i>GPR161</i>,GPR161,Q8N6U8
gpcr,1111,Class A Orphans with no pharmacology,637,<i>GPR176</i>,GPR176,Q14439
gpcr,1111,Class A Orphans with no pharmacology,153,<i>MRGPRE</i>,MRGPRE,Q86SM8
gpcr,1111,Class A Orphans with no pharmacology,155,<i>MRGPRG</i>,MRGPRG,Q86SM5
gpcr,1111,Class A Orphans with no pharmacology,158,<i>MRGPRX3</i>,MRGPRX3,Q96LB0
gpcr,1112,Class A Orphans with only surrogate ligands,100,<i>GPR33</i>,GPR33,Q49SQ1
gpcr,1112,Class A Orphans with only surrogate ligands,108,<i>GPR52</i>,GPR52,Q9Y2T5
gpcr,1112,Class A Orphans with only surrogate ligands,121,<i>GPR85</i>,GPR85,P60893
gpcr,1112,Class A Orphans with only surrogate ligands,123,<i>GPR88</i>,GPR88,Q9GZN0
gpcr,18,Class C Orphans,209,<i>GPR156</i>,GPR156,Q8NFN8
gpcr,18,Class C Orphans,210,<i>GPR158</i>,GPR158,Q5T848
gpcr,18,Class C Orphans,211,<i>GPR179</i>,GPR179,Q6PRD1
gpcr,18,Class C Orphans,258,<i>GPRC5A</i>,GPRC5A,Q8NFJ5
gpcr,18,Class C Orphans,259,<i>GPRC5B</i>,GPRC5B,Q9NZH0
gpcr,18,Class C Orphans,260,<i>GPRC5C</i>,GPRC5C,Q9NQ84
gpcr,18,Class C Orphans,261,<i>GPRC5D</i>,GPRC5D,Q9NZD1
gpcr,18,Class C Orphans,55,GPRC6 receptor,GPRC6A,Q5T6X5
gpcr,25,Class Frizzled GPCRs,229,FZD<sub>1</sub>,FZD1,Q9UP38
gpcr,25,Class Frizzled GPCRs,230,FZD<sub>2</sub>,FZD2,Q14332
gpcr,25,Class Frizzled GPCRs,231,FZD<sub>3</sub>,FZD3,Q9NPG1
gpcr,25,Class Frizzled GPCRs,232,FZD<sub>4</sub>,FZD4,Q9ULV1
gpcr,25,Class Frizzled GPCRs,233,FZD<sub>5</sub>,FZD5,Q13467
gpcr,25,Class Frizzled GPCRs,234,FZD<sub>6</sub>,FZD6,O60353
gpcr,25,Class Frizzled GPCRs,235,FZD<sub>7</sub>,FZD7,O75084
gpcr,25,Class Frizzled GPCRs,236,FZD<sub>8</sub>,FZD8,Q9H461
gpcr,25,Class Frizzled GPCRs,237,FZD<sub>9</sub>,FZD9,O00144
gpcr,25,Class Frizzled GPCRs,238,FZD<sub>10</sub>,FZD10,Q9ULW2
gpcr,25,Class Frizzled GPCRs,239,SMO,SMO,Q99835
gpcr,5,Complement peptide receptors,31,C3a receptor,C3AR1,Q16581
gpcr,5,Complement peptide receptors,32,C5a<sub>1</sub> receptor,C5AR1,P21730
gpcr,5,Complement peptide receptors,33,C5a<sub>2</sub> receptor,C5AR2,Q9P296
gpcr,19,Corticotropin-releasing factor receptors,212,CRF<sub>1</sub> receptor,CRHR1,P34998
gpcr,19,Corticotropin-releasing factor receptors,213,CRF<sub>2</sub> receptor,CRHR2,Q13324
gpcr,20,Dopamine receptors,214,D<sub>1</sub> receptor,DRD1,P21728
gpcr,20,Dopamine receptors,215,D<sub>2</sub> receptor,DRD2,P14416
gpcr,20,Dopamine receptors,216,D<sub>3</sub> receptor,DRD3,P35462
gpcr,20,Dopamine receptors,217,D<sub>4</sub> receptor,DRD4,P21917
gpcr,20,Dopamine receptors,218,D<sub>5</sub> receptor,DRD5,P21918
gpcr,21,Endothelin receptors,219,ET<sub>A</sub> receptor,EDNRA,P25101
gpcr,21,Endothelin receptors,220,ET<sub>B</sub> receptor,EDNRB,P24530
gpcr,23,Formylpeptide receptors,222,FPR1,FPR1,P21462
gpcr,23,Formylpeptide receptors,223,FPR2,FPR2,P25090
gpcr,23,Formylpeptide receptors,224,FPR3,FPR3,P25089
gpcr,24,Free fatty acid receptors,225,FFA1 receptor,FFAR1,O14842
gpcr,24,Free fatty acid receptors,226,FFA2 receptor,FFAR2,O15552
gpcr,24,Free fatty acid receptors,227,FFA3 receptor,FFAR3,O14843
gpcr,24,Free fatty acid receptors,127,FFA4 receptor,FFAR4,Q5NUL3
gpcr,24,Free fatty acid receptors,228,<i>GPR42</i>,GPR42,O15529
gpcr,26,GABA<sub>B</sub> receptors,240,GABA<sub>B1</sub>,GABBR1,Q9UBS5
gpcr,26,GABA<sub>B</sub> receptors,241,GABA<sub>B2</sub>,GABBR2,O75899
gpcr,27,Galanin receptors,243,GAL<sub>1</sub> receptor,GALR1,P47211
gpcr,27,Galanin receptors,244,GAL<sub>2</sub> receptor,GALR2,O43603
gpcr,27,Galanin receptors,245,GAL<sub>3</sub> receptor,GALR3,O60755
gpcr,28,Ghrelin receptor,246,ghrelin receptor,GHSR,Q92847
gpcr,29,Glucagon receptor family,247,GHRH receptor,GHRHR,Q02643
gpcr,29,Glucagon receptor family,248,GIP receptor,GIPR,P48546
gpcr,29,Glucagon receptor family,249,GLP-1 receptor,GLP1R,P43220
gpcr,29,Glucagon receptor family,250,GLP-2 receptor,GLP2R,O95838
gpcr,29,Glucagon receptor family,251,glucagon receptor,GCGR,P47871
gpcr,29,Glucagon receptor family,252,secretin receptor,SCTR,P47872
gpcr,30,Glycoprotein hormone receptors,253,FSH receptor,FSHR,P23945
gpcr,30,Glycoprotein hormone receptors,254,LH receptor,LHCGR,P22888
gpcr,30,Glycoprotein hormone receptors,255,TSH receptor,TSHR,P16473
gpcr,31,Gonadotrophin-releasing hormone receptors,256,GnRH<sub>1</sub> receptor,GNRHR,P30968
gpcr,31,Gonadotrophin-releasing hormone receptors,257,GnRH<sub>2</sub> receptor,GNRHR2,Q96P88
gpcr,1108,GPR143,203,<i>GPR143</i>,GPR143,P51810
gpcr,114,"GPR18, GPR55 and GPR119",89,<i>GPR18</i>,GPR18,Q14330
gpcr,114,"GPR18, GPR55 and GPR119",109,<i>GPR55</i>,GPR55,Q9Y2T6
gpcr,114,"GPR18, GPR55 and GPR119",126,<i>GPR119</i>,GPR119,Q8TDV5
gpcr,1115,"GPR42, GPR84",228,<i>GPR42</i>,GPR42,O15529
gpcr,1115,"GPR42, GPR84",120,<i>GPR84</i>,GPR84,Q9NQS5
gpcr,22,G protein-coupled estrogen receptor,221,GPER,GPER1,Q99527
gpcr,33,Histamine receptors,262,H<sub>1</sub> receptor,HRH1,P35367
gpcr,33,Histamine receptors,263,H<sub>2</sub> receptor,HRH2,P25021
gpcr,33,Histamine receptors,264,H<sub>3</sub> receptor,HRH3,Q9Y5N1
gpcr,33,Histamine receptors,265,H<sub>4</sub> receptor,HRH4,Q9H3N8
gpcr,48,Hydroxycarboxylic acid receptors,311,HCA<sub>1</sub> receptor,HCAR1,Q9BXC0
gpcr,48,Hydroxycarboxylic acid receptors,312,HCA<sub>2</sub> receptor,HCAR2,Q8TDS4
gpcr,48,Hydroxycarboxylic acid receptors,313,HCA<sub>3</sub> receptor,HCAR3,P49019
gpcr,34,Kisspeptin receptor,266,kisspeptin receptor,KISS1R,Q969F8
gpcr,35,Leukotriene receptors,267,BLT1 receptor,LTB4R,Q15722
gpcr,35,Leukotriene receptors,268,BLT2 receptor,LTB4R2,Q9NPC1
gpcr,35,Leukotriene receptors,269,CysLT1 receptor,CYSLTR1,Q9Y271
gpcr,35,Leukotriene receptors,270,CysLT2 receptor,CYSLTR2,Q9NS75
gpcr,35,Leukotriene receptors,271,OXER1,OXER1,Q8TDS5
gpcr,35,Leukotriene receptors,223,FPR2,FPR2,P25090
gpcr,1116,"LGR4, LGR5, LGR6",147,<i>LGR4</i>,LGR4,Q9BXB1
gpcr,1116,"LGR4, LGR5, LGR6",148,<i>LGR5</i>,LGR5,O75473
gpcr,1116,"LGR4, LGR5, LGR6",149,<i>LGR6</i>,LGR6,Q9HBX8
gpcr,36,Lysophospholipid (LPA) receptors,272,LPA<sub>1</sub> receptor,LPAR1,Q92633
gpcr,36,Lysophospholipid (LPA) receptors,273,LPA<sub>2</sub> receptor,LPAR2,Q9HBW0
gpcr,36,Lysophospholipid (LPA) receptors,274,LPA<sub>3</sub> receptor,LPAR3,Q9UBY5
gpcr,36,Lysophospholipid (LPA) receptors,94,LPA<sub>4</sub> receptor,LPAR4,Q99677
gpcr,36,Lysophospholipid (LPA) receptors,124,LPA<sub>5</sub> receptor,LPAR5,Q9H1C0
gpcr,36,Lysophospholipid (LPA) receptors,163,LPA<sub>6</sub> receptor,LPAR6,P43657
gpcr,135,Lysophospholipid (S1P) receptors,275,S1P<sub>1</sub> receptor,S1PR1,P21453
gpcr,135,Lysophospholipid (S1P) receptors,276,S1P<sub>2</sub> receptor,S1PR2,O95136
gpcr,135,Lysophospholipid (S1P) receptors,277,S1P<sub>3</sub> receptor,S1PR3,Q99500
gpcr,135,Lysophospholipid (S1P) receptors,278,S1P<sub>4</sub> receptor,S1PR4,O95977
gpcr,135,Lysophospholipid (S1P) receptors,279,S1P<sub>5</sub> receptor,S1PR5,Q9H228
gpcr,1114,"Mas1, BB3/brs3, GPR17",150,<i>MAS1</i>,MAS1,P04201
gpcr,1114,"Mas1, BB3/brs3, GPR17",40,BB<sub>3</sub> receptor,BRS3,P32247
gpcr,1114,"Mas1, BB3/brs3, GPR17",88,<i>GPR17</i>,GPR17,Q13304
gpcr,37,Melanin-concentrating hormone receptors,280,MCH<sub>1</sub> receptor,MCHR1,Q99705
gpcr,37,Melanin-concentrating hormone receptors,281,MCH<sub>2</sub> receptor,MCHR2,Q969V1
gpcr,38,Melanocortin receptors,282,MC<sub>1</sub> receptor,MC1R,Q01726
gpcr,38,Melanocortin receptors,283,MC<sub>2</sub> receptor,MC2R,Q01718
gpcr,38,Melanocortin receptors,284,MC<sub>3</sub> receptor,MC3R,P41968
gpcr,38,Melanocortin receptors,285,MC<sub>4</sub> receptor,MC4R,P32245
gpcr,38,Melanocortin receptors,286,MC<sub>5</sub> receptor,MC5R,P33032
gpcr,39,Melatonin receptors,287,MT<sub>1</sub> receptor,MTNR1A,P48039
gpcr,39,Melatonin receptors,288,MT<sub>2</sub> receptor,MTNR1B,P49286
gpcr,40,Metabotropic glutamate receptors,289,mGlu<sub>1</sub> receptor,GRM1,Q13255
gpcr,40,Metabotropic glutamate receptors,290,mGlu<sub>2</sub> receptor,GRM2,Q14416
gpcr,40,Metabotropic glutamate receptors,291,mGlu<sub>3</sub> receptor,GRM3,Q14832
gpcr,40,Metabotropic glutamate receptors,292,mGlu<sub>4</sub> receptor,GRM4,Q14833
gpcr,40,Metabotropic glutamate receptors,293,mGlu<sub>5</sub> receptor,GRM5,P41594
gpcr,40,Metabotropic glutamate receptors,294,mGlu<sub>6</sub> receptor,GRM6,O15303
gpcr,40,Metabotropic glutamate receptors,295,mGlu<sub>7</sub> receptor,GRM7,Q14831
gpcr,40,Metabotropic glutamate receptors,296,mGlu<sub>8</sub> receptor,GRM8,O00222
gpcr,41,Motilin receptor,297,motilin receptor,MLNR,O43193
gpcr,42,Neuromedin U receptors,298,NMU1 receptor,NMUR1,Q9HB89
gpcr,42,Neuromedin U receptors,299,NMU2 receptor,NMUR2,Q9GZQ4
gpcr,43,Neuropeptide FF/neuropeptide AF receptors,300,NPFF1 receptor,NPFFR1,Q9GZQ6
gpcr,43,Neuropeptide FF/neuropeptide AF receptors,301,NPFF2 receptor,NPFFR2,Q9Y5X5
gpcr,44,Neuropeptide S receptor,302,NPS receptor,NPSR1,Q6W5P4
gpcr,45,Neuropeptide W/neuropeptide B receptors,303,NPBW1 receptor,NPBWR1,P48145
gpcr,45,Neuropeptide W/neuropeptide B receptors,304,NPBW2 receptor,NPBWR2,P48146
gpcr,46,Neuropeptide Y receptors,305,Y<sub>1</sub> receptor,NPY1R,P25929
gpcr,46,Neuropeptide Y receptors,306,Y<sub>2</sub> receptor,NPY2R,P49146
gpcr,46,Neuropeptide Y receptors,307,Y<sub>4</sub> receptor,NPY4R,P50391
gpcr,46,Neuropeptide Y receptors,308,Y<sub>5</sub> receptor,NPY5R,Q15761
gpcr,46,Neuropeptide Y receptors,683,y<sub>6</sub> receptor,NPY6R,Q99463
gpcr,47,Neurotensin receptors,309,NTS<sub>1</sub> receptor,NTSR1,P30989
gpcr,47,Neurotensin receptors,310,NTS<sub>2</sub> receptor,NTSR2,O95665
gpcr,50,Opioid receptors,317,&delta; receptor,OPRD1,P41143
gpcr,50,Opioid receptors,318,&kappa; receptor,OPRK1,P41145
gpcr,50,Opioid receptors,319,&mu; receptor,OPRM1,P35372
gpcr,50,Opioid receptors,320,NOP receptor,OPRL1,P41146
gpcr,975,Opsin receptors,2961,<i>OPN1LW</i>,OPN1LW,P04000
gpcr,975,Opsin receptors,2962,<i>OPN1MW</i>,OPN1MW,P04001
gpcr,975,Opsin receptors,2960,<i>OPN1SW</i>,OPN1SW,P03999
gpcr,975,Opsin receptors,2963,Rhodopsin,RHO,P08100
gpcr,975,Opsin receptors,160,<i>OPN3</i>,OPN3,Q9H1Y3
